id,state,abbreviation,employed,good_better_health
54,West Virginia,WV,49.5,74.2
21,Kentucky,KY,54.4,75.7
47,Tennessee,TN,55.7,76.2
5,Arkansas,AR,54.2,76.5
1,Alabama,AL,52.5,77.1
28,Mississippi,MS,51.7,78
22,Louisiana,LA,55.2,78.3
35,New Mexico,NM,53.4,79.3
40,Oklahoma,OK,57.3,79.5
45,South Carolina,SC,54.9,80.3
48,Texas,TX,60.2,80.5
12,Florida,FL,53.6,80.7
4,Arizona,AZ,54.2,81
37,North Carolina,NC,56.3,81.1
18,Indiana,IN,59.5,81.1
13,Georgia,GA,56.7,81.2
32,Nevada,NV,57.7,81.5
6,California,CA,57.4,81.9
39,Ohio,OH,58.7,82.2
17,Illinois,IL,60,82.7
36,New York,NY,58.5,82.8
42,Pennsylvania,PA,58.1,82.9
29,Missouri,MO,58.1,83.1
51,Virginia,VA,60.6,83.1
34,New Jersey,NJ,61,83.1
26,Michigan,MI,55.9,83.2
53,Washington,WA,59.1,84
41,Oregon,OR,56.6,84.4
10,Delaware,DE,58.5,84.4
55,Wisconsin,WI,63.3,84.5
30,Montana,MT,60.1,84.6
20,Kansas,KS,61.9,84.6
44,Rhode Island,RI,59.7,84.8
23,Maine,ME,59.3,84.9
15,Hawaii,HI,58.1,85.5
25,Massachusetts,MA,62.9,85.5
9,Connecticut,CT,61.6,85.7
24,Maryland,MD,62.7,85.8
38,North Dakota,ND,66.5,85.9
46,South Dakota,SD,66.5,86
33,New Hampshire,NH,64.4,86.3
56,Wyoming,WY,64.8,86.3
19,Iowa,IA,64.7,86.4
2,Alaska,AK,61.9,86.6
8,Colorado,CO,63.7,86.8
31,Nebraska,NE,67.1,86.8
16,Idaho,ID,58.1,86.9
11,District of Columbia,DC,62.3,87.1
49,Utah,UT,64,87.9
27,Minnesota,MN,66.3,88
50,Vermont,VT,62.5,88.3